rid;cid;name;description;query;query_type;file_name;report_type;license_holder;owner
2d9b4687-1da5-4b10-9f3e-9d5e1706de99;why diverge brr;vessel leopard;boo laze nor;conquerXXX;NATIVE_QUERY;horrible;CSV;zowie lantern;under
e463984c-33db-4c9b-bed3-fcbd5c786c8a;beautifully dislocate;yogurt;welcome via libel;though ouch enlighten;HQL;angelic;PDF;absent incidentally;incidentally curiously which
5d363a7d-7cfc-4f2f-8cbb-d475b27a26ea;process foot;towards;physically aboard;ew opposite talk;NATIVE_QUERY;so dreary;CSV;unto;friendly
145eb73a-3235-4a8b-bc83-b90db85748f7;activity;pleasing symptom dramatic;tremendously;nowXXXXXXX;HQL;foundation;HTML;sedately enthusiastically why;barricade liken untried
7fa83c45-a36d-4148-b7b5-f1aced1a2bac;truthful aboard aardvark;pish;between um woot;over swiftly bah;NATIVE_QUERY;midst luxuriate;PDF;probable zowie announce;jangle that crinkle
4c99de1b-c580-463a-9a91-3da1f8f4d242;psst;huzzah carefully befall;specific;pamphlet whenever why;NATIVE_QUERY;yet selfish;PDF;mmm plain drat;although
2b2d582e-dbe0-402a-a57a-9f57a3cb6ce6;ick which who;anti drat mine;acidly;frantically crunch righteously;NATIVE_QUERY;since grovel;HTML;almost aw last;similar address meaty
4a57bf37-7f35-4861-9666-3e4c9ebbb1e7;hungrily waterskiing;elderly;qua interject;mostly misdial sinful;NATIVE_QUERY;through perfectly;HTML;huzzah;mocha longingly
a61d4850-d8eb-48cd-a949-c67e7b01556e;extroverted loosely nor;jubilantly big-hearted masticate;dangerous;via which incidentally;HQL;fast;TABLE;pony;follow retry aha
72e9beb3-24d1-444a-b749-b77fea2038ed;with flush;among overcooked;responsible;even spiffy;HQL;submissive quickly ick;XLS;mutate bleakly geez;tadpole modulo gaffe
