rid;source_column_name;source_column_index;column_title;lang
15fbb948-587c-411c-9dc6-1836460c982d;incomplete fraction;6286;hallmark witty diligently;humanity sister size
55b3c679-5b98-4840-a2d1-fca7d67f6408;blah;29124;ascend preheat longingly;tongue
a1e89532-6896-4a90-acb3-a3020f905d22;ultimately;26703;opposite any;resist
44df14e9-bf02-40a9-b2a6-9d8f8cf1c167;furthermore last;27241;pro drat hark;ick
c99b2c58-0e9d-4d54-90b0-efdae919e83e;a since;7435;what;via despite
bd963520-2ccb-417a-9649-0c4b639acf9f;ultimate;16417;before barrage;casino
4e0963df-4bff-451f-b2aa-efa73da09991;acquire longingly moist;8027;user er documentation;dissemination
0b5c4044-c614-4522-a052-81c292b6f648;ouch;24173;which;tightly reconstitute
aad7914d-5949-4cfd-928f-f21b1cf25449;within fooey;4913;weepy pfft;profuse
92cb19b6-798d-4270-8c6b-3fa89429ba1d;after if badly;27027;tremendous;conventional
