rid;name;type;value;conversion_rule
c17c31cd-5cb9-45f3-81cd-49eccebafa7e;unless;slim;broadcast slowly boohoo;gah potentially
649adc8b-6243-4c8e-9d1a-a1f52ba37ce5;gah soon;impose;after never denominate;whereas tall lest
d733668d-88ab-4b77-8424-8f223f5e38a4;inside till curiously;boohoo slowly chiffonier;alongside;geez mmm oust
1c2c745e-221d-4a94-979f-2ac903aedd99;when;earnings ack;towards;who adorable
df0a5322-a72e-4fa0-a322-ad3e1c7d1840;via knowledgeable;vitro;regarding;spirited ew now
1f926abf-deb5-4bac-a8c8-c8d630ba157c;always how eek;gadzooks shy;to creepy murmurings;likewise clue
198f5590-4fbc-4ac3-a687-b0d2efd9c947;millstone;emergence;astride atop;as on as
7d9734f9-7def-4b91-9c6d-4e2082bf2b8a;syrup terrific eyeglasses;ew flintlock although;trench;yieldingly unto knacker
0fcce6b2-097e-4c0b-8e98-389a9b5a85a8;whenever around;what;divest;not somber
f19847b3-364b-4f9f-b59c-b6b37e5e31d7;dysfunction knowledgeably complete;altruistic geez;intercut;who inconvenience
